z,E,Omega_m,Omega_Lambda,q
0.44,1.2891837210679735,0.5988755679921957,0.4011244320078043,-0.10168664801170646
0.45,1.2972567209307493,0.6038525341058208,0.3961474658941791,-0.09422119884126867
0.46,1.3053908737743394,0.6087741014714788,0.3912258985285212,-0.08683884779278178
0.47,1.3135858048360094,0.6136402755285739,0.3863597244714261,-0.07953958670713912
0.48,1.3218411402282801,0.6184510945874999,0.3815489054125002,-0.07232335811875024
0.49,1.3301565070822807,0.6232066283982758,0.3767933716017241,-0.06519005740258621
0.5,1.3385315336840842,0.627906976744186,0.37209302325581395,-0.05813953488372092
0.51,1.3469658496042132,0.6325522680619392,0.36744773193806085,-0.05117159790709125
0.52,1.3554590858204956,0.6371426580896866,0.3628573419103132,-0.044286012865469904
0.53,1.3640108748344593,0.6416783285440655,0.35832167145593435,-0.037482507183901614
0.54,1.372620850781453,0.646159485827272,0.35384051417272794,-0.030760771259091935
0.55,1.3812886495346774,0.6505863597650194,0.3494136402349807,-0.024120460352471007
0.56,1.3900139088033134,0.6549592023760891,0.3450407976239111,-0.017561196435866566
0.57,1.3987962682249333,0.65927828667405,0.34072171332594997,-0.011082569988924984
0.58,1.4076353694523782,0.6635439055015956,0.3364560944984045,-0.004684141747606729
0.59,1.4165308562352836,0.6677563703978237,0.3322436296021766,0.0016345555967351988
0.6,1.4254823744964369,0.6719160104986878,0.3280839895013123,0.007874015748031593
0.61,1.4344895724031363,0.6760231714707301,0.32397682852926996,0.014034757206095094
0.62,1.4435521004337413,0.6800782144781246,0.31992178552187567,0.02011732171718661
0.63,1.452669611439573,0.6840815151829631,0.31591848481703655,0.02612227277444501
0.64,1.4618417607023455,0.6880334627786486,0.3119665372213515,0.032050194167972834
0.65,1.4710682059872908,0.6919344590561642,0.3080655409438358,0.03790168858424631
0.66,1.4803486075921442,0.6957849175029541,0.3042150824970461,0.043677376254430966
0.67,1.489682628392146,0.6995852624340534,0.3004147375659468,0.04937789365107992
0.68,1.4990699338812272,0.7033359281550816,0.29666407184491816,0.05500389223262264
0.69,1.508510192209519,0.7070373581566439,0.29296264184335613,0.06055603723496583
0.7,1.5180030742173525,0.7106900043396499,0.2893099956603501,0.06603500650947486
0.71,1.527548253465882,0.7142943262710223,0.2857056737289776,0.07144148940653355
0.72,1.537145406264482,0.7178507904692254,0.2821492095307746,0.0767761857038381
0.73,1.546794211695057,0.7213598697190207,0.27864013028097934,0.082039804578531
0.74,1.5564943516333962,0.7248220424148296,0.27517795758517033,0.08723306362224448
0.75,1.5662455107677085,0.7282377919320594,0.27176220806794055,0.09235668789808915
0.76,1.5760473766144636,0.7316076060257315,0.26839239397426873,0.09741140903859702
0.77,1.5858996395316656,0.7349319762557365,0.26506802374426336,0.10239796438360488
0.78,1.5958019927296745,0.738211397438032,0.26178860256196795,0.10731709615704804
0.79,1.6057541322797004,0.7414463671210789,0.25855363287892097,0.11216955068161849
0.8,1.6157557571200751,0.7446373850868232,0.25536261491317663,0.11695607763023497
0.81,1.6258065690604158,0.74778495287551,0.2522150471244899,0.12167742931326508
0.82,1.635906272783784,0.7508895733336256,0.24911042666637445,0.12633436000043835
0.83,1.6460545758469451,0.7539517501842595,0.24604824981574064,0.13092762527638913
0.84,1.6562511886788185,0.7569719876191809,0.24302801238081911,0.13545798142877136
0.85,1.6664958245772274,0.759950789911932,0.24004921008806804,0.13992618486789796
0.86,1.6767881997040253,0.7628886610512379,0.23711133894876218,0.14433299157685675
0.87,1.687128033078699,0.7657861043940519,0.23421389560594824,0.14867915659107772
0.88,1.6975150465705253,0.7686436223375508,0.2313563776624492,0.1529654335063262
0.89,1.707948964889369,0.7714617160094153,0.2285382839905846,0.15719257401412304
0.9,1.718429515575195,0.7742408849757308,0.22575911502426912,0.1613613274635963
0.91,1.7289564289863795,0.7769816269658651,0.22301837303413485,0.16547244044879772
0.92,1.7395294382868793,0.7796844376136829,0.2203155623863172,0.16952665642052425
0.93,1.7501482794323457,0.7823498102144758,0.21765018978552422,0.17352471532171368
0.94,1.7608126911552326,0.7849782354969972,0.21502176450300303,0.17746735324549556
0.95,1.7715224149489799,0.7875702014100029,0.21242979858999728,0.18135530211500417
0.96,1.7822771950513197,0.7901261929227194,0.20987380707728057,0.1851892893840791
0.97,1.7930767784267725,0.7926466918386671,0.20735330816133293,0.18897003775800061
0.98,1.8039209147483894,0.7951321766222869,0.20486782337771317,0.19269826493343026
0.99,1.8148093563787904,0.797583122237832,0.2024168777621681,0.1963746833567479
1.0,1.8257418583505536,0.8,0.2,0.2
1.01,1.8367181783460047,0.8023832774357964,0.19761672256420348,0.20357491615369472
1.02,1.8477380766764537,0.8047334181571364,0.19526658184286347,0.20710012723570473
1.03,1.8588013162609214,0.8070508817437045,0.19294911825629563,0.21057632261555664
1.04,1.8699076626044044,0.8093361236356093,0.19066387636439064,0.214004185453414
1.05,1.8810568837757138,0.8115895950353857,0.1884104049646142,0.21738439255307868
1.06,1.892248750384931,0.8138117428189052,0.1861882571810949,0.2207176142283577
1.07,1.9034830355605135,0.8160030094547776,0.18399699054522262,0.22400451418216616
1.08,1.9147595149260912,0.818163832931839,0.18183616706816091,0.2272457493977586
1.09,1.926077966576985,0.8202946466943334,0.1797053533056665,0.2304419700415002
1.1,1.937438171056477,0.8223958795844064,0.17760412041559362,0.23359381937660958
1.11,1.9488399113318675,0.8244679557915525,0.1755320442084474,0.23670193368732886
1.12,1.960282972770343,0.8265112948086627,0.17348870519133722,0.23976694221299413
1.13,1.97176714311469,0.8285263113943323,0.17147368860566772,0.24278946709149843
1.14,1.9832922124588697,0.8305134155411062,0.1694865844588938,0.24577012331165932
1.15,1.9948579732234906,0.8324730124493492,0.16752698755065076,0.24870951867402386
1.16,2.006464220131191,0.8344055025064381,0.16559449749356162,0.25160825375965745
1.17,2.0181107501819615,0.8363112812709904,0.1636887187290095,0.2544669219064857
1.18,2.0297973626284302,0.8381907394618484,0.16180926053815178,0.2572861091927724
1.19,2.0415238589511184,0.840044262951556,0.15995573704844396,0.26006639442733404
1.2,2.0532900428336958,0.8418722327640735,0.15812776723592661,0.2628083491461102
1.21,2.065095720138254,0.84367502507648,0.15632497492351996,0.26551253761472005
1.22,2.0769406988806076,0.8454530112244384,0.15454698877556128,0.2681795168366579
1.23,2.0888247892056433,0.8472065577111908,0.1527934422888091,0.2708098365667863
1.24,2.10074780336273,0.8489360262198717,0.15106397378012815,0.2734040393298077
1.25,2.112709555681203,0.8506417736289382,0.14935822637106186,0.2759626604434072
1.26,2.124709862545943,0.8523241520305133,0.14767584796948666,0.27848622804576995
1.27,2.1367485423730455,0.8539835087514617,0.14601649124853805,0.2809752631271928
1.28,2.1488254155856095,0.8556201863770139,0.14437981362298616,0.2834302795655208
1.29,2.160940304589648,0.8572345227767685,0.14276547722323146,0.2858517841651528
1.3,2.1730930337501273,0.8588268511329146,0.14117314886708554,0.28824027669937174
1.31,2.1852834293671535,0.860397499970509,0.139602500029491,0.2905962499557635
1.32,2.197511319652302,0.8619467931896696,0.13805320681033031,0.2929201897845045
1.33,2.2097765347051124,0.8634750500995367,0.13652494990046302,0.2952125751493053
1.34,2.222078906489746,0.8649825854538717,0.13501741454612817,0.2974738781808077
1.35,2.2344182688118175,0.8664697094881618,0.1335302905118383,0.2997045642322426
1.36,2.246794457295401,0.8679367279581116,0.13206327204188828,0.3019050919371675
1.37,2.259207309360225,0.869383942179406,0.130616057820594,0.304075913269109
1.38,2.27165666419906,0.8708116490686294,0.1291883509313705,0.3062174736029442
1.39,2.2841423627552926,0.8722201411852438,0.12777985881475626,0.3083302117778657
1.4,2.2966642477007095,0.8736097067745197,0.1263902932254803,0.31041456016177954
1.41,2.309222163413473,0.8749806298113314,0.1250193701886686,0.3124709447169971
1.42,2.321815955956314,0.876333190044723,0.12366680995527715,0.3144997850670843
1.43,2.3344454730549318,0.8776676630431625,0.1223323369568376,0.31650149456474364
1.44,2.3471105640766052,0.8789843202404048,0.12101567975959508,0.31847648036060733
1.45,2.3598110800090195,0.8802834289818852,0.11971657101811457,0.320425143472828
1.46,2.3725468734393145,0.8815652525715735,0.11843474742842632,0.32234787885736044
1.47,2.3853177985333525,0.8828300503192207,0.11716994968077928,0.3242450754788311
1.48,2.398123711015204,0.8840780775879336,0.11592192241206624,0.32611711638190055
1.49,2.4109644681468594,0.8853095858420187,0.11469041415798106,0.3279643787630283
1.5,2.4238399287081647,0.8865248226950353,0.11347517730496452,0.3297872340425531
1.51,2.436749952976984,0.8877240319580068,0.11227596804199301,0.33158604793701035
1.52,2.4496944027095844,0.8889074536877393,0.11109254631226069,0.33336118053160896
1.53,2.4626731411212495,0.8900753242351976,0.10992467576480228,0.3351129863527965
1.54,2.475686032867119,0.8912278762938989,0.1087721237061012,0.33684181444084826
1.55,2.4887329440232566,0.8923653389482747,0.10763466105172519,0.33854800842241217
1.56,2.5018137420679425,0.893487937721971,0.10651206227802883,0.34023190658295666
1.57,2.514928295863191,0.8945958946260403,0.10540410537395978,0.34189384193906036
1.58,2.5280764756365,0.8956894282069974,0.10431057179300277,0.34353414231049595
1.59,2.5412581529628193,0.8967687535947054,0.10323124640529444,0.3451531303920583
1.6,2.5544732007467474,0.8978340825500614,0.1021659174499387,0.346751123825092
1.61,2.567721493204952,0.8988856235124495,0.10111437648755044,0.3483284352686743
